File Name,Category,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),Lossless
I04_04_01.png,high,7.99908,0.0034,0.00054,-0.005,98.75743,33.48401,7.99905,-0.00246,0.00158,7e-05,98.78591,33.49936,7.99918,-0.00227,-0.00017,-0.00335,98.7737,33.4891,7.9991,-0.00044,0.00065,-0.00276,98.77235,33.49082,0.0,inf,0.4619,0.5201,True
I05_01_02.png,high,7.99919,0.00117,-0.00153,-0.00242,99.35099,33.45946,7.99898,0.00459,0.001,-0.00087,99.35048,33.54701,7.99908,0.00108,0.00151,0.00057,99.38049,33.52102,7.99908,0.00228,0.00033,-0.00091,99.36066,33.50916,0.0,inf,0.4662,0.4698,True
I05_20_02.png,high,7.99905,0.00125,0.00058,0.00049,98.88255,33.47281,7.99922,0.0013,1e-05,-0.00208,98.90849,33.47512,7.99886,0.00615,-2e-05,-0.00181,98.96189,33.51726,7.99904,0.0029,0.00019,-0.00113,98.91764,33.4884,0.0,inf,0.4554,0.4596,True
I08_18_01.png,high,7.9991,-5e-05,0.00281,-0.00157,99.24571,33.47861,7.99907,0.00067,0.00334,-0.00257,99.28538,33.39868,7.99905,-0.00403,-0.00193,-0.00111,99.23604,33.5223,7.99907,-0.00114,0.00141,-0.00175,99.25571,33.46653,0.0,inf,0.6401,0.5554,True
I13_17_03.png,high,7.99902,0.00019,-0.00097,0.00196,99.06667,33.45275,7.99897,-0.0008,0.00137,-0.00175,99.04582,33.37149,7.99903,-0.00134,0.00068,-0.00082,99.05752,33.47761,7.999,-0.00065,0.00036,-0.0002,99.05667,33.43395,0.0,inf,0.4487,0.4536,True
I15_19_02.png,high,7.99914,-0.00018,-0.00183,0.0007,98.91561,33.49118,7.99896,-0.00073,-0.00425,0.0003,98.90289,33.43946,7.99909,-0.00211,0.00035,-0.0025,98.89425,33.52988,7.99906,-0.001,-0.00191,-0.0005,98.90425,33.48684,0.0,inf,0.4461,0.4481,True
I16_16_01.png,high,7.99909,-8e-05,-0.0001,0.00201,99.0331,33.42386,7.99893,0.00341,-0.00064,-0.0028,99.01276,33.48566,7.99912,0.00058,0.00274,0.00176,99.04277,33.52715,7.99905,0.0013,0.00067,0.00032,99.02954,33.47889,0.0,inf,0.4707,0.4607,True
I16_18_05.png,high,7.99901,0.00641,-0.00066,-0.0008,99.35404,33.4371,7.99921,-0.00023,-0.00072,-0.0008,99.38049,33.44322,7.99913,-0.00327,0.00058,0.00176,99.37592,33.45705,7.99912,0.00097,-0.00027,5e-05,99.37015,33.44579,0.0,inf,0.4379,0.4604,True
I21_06_02.png,high,7.99913,-0.00023,-0.00269,-0.00081,99.52291,33.40562,7.99907,0.00214,-0.0033,0.00176,99.50511,33.39422,7.99904,-3e-05,-0.0006,-0.00017,99.51223,33.39838,7.99908,0.00063,-0.0022,0.00026,99.51341,33.3994,0.0,inf,0.4506,0.4714,True
I26_04_01.png,high,7.99926,0.00336,-0.00013,-0.00315,98.95528,33.41662,7.99903,-0.00053,-0.00136,-0.00153,98.94511,33.40463,7.99894,0.00232,0.00467,0.00284,98.9507,33.50433,7.99908,0.00171,0.00106,-0.00061,98.95036,33.44186,0.0,inf,0.4414,0.467,True
