File Name,Category,Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),Enc_Time (s),Dec_Time (s),Lossless
I04_04_01.png,high,7.99913,-0.00033,0.00199,-0.00095,99.16128,33.52374,0.6633,0.6609,True
I05_01_02.png,high,7.99899,0.00194,-0.00119,-0.00023,99.12567,33.4643,0.6425,0.6538,True
I05_20_02.png,high,7.99902,-0.00332,0.00172,0.00281,99.36829,33.43369,0.6467,0.6574,True
I08_18_01.png,high,7.99911,0.00033,-0.0021,0.00278,99.12008,33.46978,0.6517,0.6552,True
I13_17_03.png,high,7.99909,0.0003,0.00158,0.00234,99.08396,33.43722,0.6329,0.6418,True
I15_19_02.png,high,7.99905,-0.00315,0.00198,-0.00298,99.24622,33.49363,0.6413,0.6575,True
I16_16_01.png,high,7.99912,0.00103,0.00304,0.00093,99.04989,33.3926,0.652,0.6438,True
I16_18_05.png,high,7.99918,-0.00078,0.00075,-0.00224,99.34285,33.35264,0.6403,0.6451,True
I21_06_02.png,high,7.99909,0.00164,-0.00159,0.00185,99.37541,33.5035,0.6699,0.6616,True
I26_04_01.png,high,7.99911,0.00477,0.0002,0.00337,99.16534,33.40341,0.6413,0.6523,True
I26_05_01.png,high,7.99889,-0.00024,0.00298,0.00082,99.25334,33.45172,0.6437,0.6927,True
I27_17_04.png,high,7.99907,0.0011,0.0009,-0.00149,99.24571,33.4669,0.6453,0.6531,True
I31_14_02.png,high,7.99913,0.00239,-0.00235,-0.00325,99.33065,33.52599,0.6535,0.6491,True
I39_10_02.png,high,7.99903,0.00213,-0.00101,0.00197,99.1511,33.42248,0.6673,0.6805,True
I40_16_02.png,high,7.99895,-0.00035,0.00425,-0.00061,99.35252,33.49774,0.6536,0.6802,True
I41_22_04.png,high,7.99912,-0.00381,0.00121,-0.00308,99.21265,33.51101,0.6551,0.6703,True
I45_10_01.png,high,7.99893,-0.0002,-0.00291,-5e-05,99.16331,33.41592,0.6579,0.6669,True
I48_14_01.png,high,7.99914,0.00029,0.00174,-0.0034,99.35455,33.52225,0.65,0.657,True
I52_06_01.png,high,7.99913,0.0041,0.00142,0.00037,99.22536,33.37334,0.6847,0.6666,True
I57_01_01.png,high,7.99893,0.00104,-0.00151,-0.00546,99.1979,33.39032,0.6641,0.6977,True
I57_20_01.png,high,7.99901,0.00106,-0.00105,-0.00121,99.16433,33.4593,0.6611,0.6904,True
I60_25_03.png,high,7.99898,-0.00063,0.00193,-0.00397,99.11804,33.44808,0.6631,0.6913,True
I64_18_01.png,high,7.99914,0.0016,-0.002,-0.00191,99.1684,33.50399,0.6613,0.6637,True
I65_09_01.png,high,7.99913,-0.00152,-0.00621,0.00381,99.18467,33.51463,0.7309,0.7314,True
I69_20_04.png,high,7.99912,-0.00427,-0.00129,-0.00165,99.25334,33.45504,0.6686,0.676,True
I70_08_02.png,high,7.9992,0.00541,0.0007,-0.00162,99.13127,33.45776,0.6955,0.6848,True
I73_10_02.png,high,7.99915,0.00307,-0.0007,-0.00192,99.0799,33.43378,0.6634,0.6666,True
I78_03_01.png,high,7.99898,-0.00146,0.00033,-0.00032,99.29301,33.44291,0.6729,0.6727,True
I80_18_02.png,high,7.99902,0.00175,0.00179,-0.00085,99.44204,33.45833,0.6771,0.6697,True
I81_18_03.png,high,7.99904,0.00297,0.00153,0.00325,99.15009,33.47792,0.6881,0.6679,True
I01_25_05.png,medium,7.99907,0.00409,0.00056,-0.00088,99.22434,33.463,0.668,0.6982,True
I02_14_02.png,medium,7.99924,-0.00192,0.00222,-0.00225,99.23655,33.45749,0.707,0.6801,True
I04_14_03.png,medium,7.99902,0.00081,0.0015,-0.00135,99.47866,33.50739,0.674,0.6717,True
I04_21_04.png,medium,7.99911,-0.00202,-0.00086,0.00266,98.96698,33.5205,0.7124,0.6754,True
I05_13_02.png,medium,7.99892,0.0025,0.00055,0.00108,99.02344,33.51929,0.6706,0.6714,True
I06_11_04.png,medium,7.99906,2e-05,-0.00034,0.0014,99.16178,33.38159,0.6796,0.6927,True
I09_02_01.png,medium,7.99913,0.00144,-0.00192,0.0024,99.14347,33.37081,0.6632,0.6625,True
I10_25_02.png,medium,7.99899,0.00047,-0.00188,-0.00104,99.36727,33.54814,0.6713,0.6609,True
I19_25_05.png,medium,7.99914,-0.00201,-0.00418,0.00353,99.34133,33.44077,0.6817,0.686,True
I23_08_02.png,medium,7.99915,-0.0011,-0.00652,0.00536,99.18416,33.44948,0.6788,0.6976,True
I24_25_05.png,medium,7.99914,0.00025,0.00113,-0.00267,99.07837,33.53399,0.6611,0.6916,True
I32_05_02.png,medium,7.99894,-7e-05,3e-05,-0.00433,99.42169,33.46576,0.669,0.6949,True
I32_16_03.png,medium,7.99917,0.00051,-0.00198,0.00425,99.35659,33.5608,0.6689,0.6662,True
I37_11_01.png,medium,7.99914,0.00347,-0.00363,-0.00056,99.13584,33.52007,0.6851,0.7041,True
I44_07_01.png,medium,7.99922,0.00544,-0.00067,-0.00168,99.07939,33.43441,0.6745,0.6744,True
I44_13_04.png,medium,7.99899,-0.00203,0.0001,-0.00077,98.97512,33.44106,0.6707,0.7516,True
I48_13_03.png,medium,7.99903,-0.00208,-0.00342,0.00095,99.30573,33.58546,0.6624,0.6722,True
I49_08_04.png,medium,7.99925,-0.00052,-0.00069,-0.00347,99.07074,33.57391,0.6586,0.6979,True
I53_21_03.png,medium,7.99896,-0.00166,0.0027,-0.00244,99.12618,33.3619,0.6738,0.6778,True
I56_25_04.png,medium,7.99906,-0.00129,-0.00441,0.00465,99.27724,33.42147,0.6818,0.6979,True
I57_16_03.png,medium,7.99923,-0.00168,0.00097,0.00144,99.29759,33.44469,0.6616,0.6987,True
I60_13_04.png,medium,7.99911,0.00176,-0.00346,0.00153,99.45323,33.43758,0.6679,0.703,True
I61_22_05.png,medium,7.99897,-0.00213,0.00238,-0.00504,99.51324,33.52409,0.6868,0.6682,True
I62_12_04.png,medium,7.99913,-0.00149,0.001,0.00046,99.1806,33.61578,0.6994,0.7054,True
I65_13_01.png,medium,7.99899,0.00349,0.00193,0.00538,99.29962,33.46113,0.7017,0.7052,True
I71_12_02.png,medium,7.99898,0.00064,0.00198,-0.0003,99.21621,33.54449,0.6705,0.7081,True
I73_03_03.png,medium,7.99922,0.00127,0.00207,0.00118,99.17704,33.51182,0.6863,0.6956,True
I75_07_01.png,medium,7.99919,0.00159,0.00154,0.00203,99.15771,33.43532,0.6896,0.7044,True
I79_05_04.png,medium,7.99898,-0.00528,-0.00212,0.00048,99.00106,33.49995,0.6752,0.6757,True
I81_13_01.png,medium,7.99906,0.002,0.00048,0.00511,99.22028,33.49291,0.6736,0.6979,True
I02_01_05.png,low,7.9992,0.00113,0.00062,-0.00143,99.46493,33.38156,0.6715,0.7292,True
I02_08_04.png,low,7.99917,-0.00182,-0.00184,-0.00105,99.44611,33.44812,0.6659,0.6924,True
I05_03_05.png,low,7.99899,0.00137,-0.00292,-1e-05,99.14907,33.47681,0.6706,0.6772,True
I08_04_04.png,low,7.99917,-0.00049,-0.00625,-0.00043,99.04073,33.5533,0.6724,0.6934,True
I10_01_04.png,low,7.99908,-0.00165,0.00041,0.00221,99.43288,33.48838,0.6576,0.6762,True
I11_02_04.png,low,7.99902,-0.00144,-0.00032,0.00046,99.12109,33.48661,0.8738,0.7753,True
I18_07_02.png,low,7.99904,0.00205,-0.00402,-0.0009,99.31437,33.52999,0.6763,0.6864,True
I18_12_05.png,low,7.99916,0.00255,-0.00025,-0.00031,99.2513,33.4616,0.6771,0.7048,True
I20_13_04.png,low,7.99898,0.00326,-0.00047,0.00092,98.89476,33.45089,0.6756,0.6882,True
I21_04_04.png,low,7.99903,0.0019,0.00157,0.00146,99.2335,33.48356,0.676,0.7099,True
I27_21_05.png,low,7.99895,0.00215,-0.00158,-0.00518,99.17399,33.52375,0.6981,0.6824,True
I29_03_05.png,low,7.99909,-0.00208,0.00162,0.00239,99.25334,33.4408,0.6815,0.7171,True
I33_14_03.png,low,7.99919,-0.00244,0.00069,0.00198,99.32048,33.35675,0.6904,0.703,True
I39_21_03.png,low,7.99911,-0.00369,-0.00016,-0.00106,99.20654,33.45695,0.6802,0.7044,True
I40_19_05.png,low,7.99909,-0.00139,0.00114,0.0014,99.13177,33.45303,0.6808,0.6824,True
I41_02_05.png,low,7.99909,0.00456,-0.00303,0.00106,99.43492,33.37508,0.7397,0.7136,True
I41_16_04.png,low,7.99896,-0.00213,-0.0002,0.00103,99.20349,33.47667,0.681,0.684,True
I44_03_05.png,low,7.99912,-0.00618,-0.00534,-0.001,99.37744,33.52291,0.6714,0.7605,True
I44_15_03.png,low,7.99918,0.00029,0.00013,0.0021,99.29555,33.50553,0.6951,0.6968,True
I48_23_04.png,low,7.99903,-0.00055,0.00304,-0.00096,99.1984,33.52864,0.7463,0.7387,True
I50_07_03.png,low,7.99904,0.00032,0.00216,-0.00099,99.44458,33.53198,0.7008,0.7369,True
I56_16_05.png,low,7.99914,-0.00512,-0.00356,-0.00082,99.22587,33.4873,0.6992,0.6907,True
I61_02_04.png,low,7.99911,0.00228,0.00353,0.00123,99.01835,33.45858,0.8029,0.6986,True
I66_10_04.png,low,7.99911,0.00088,-0.00137,0.00094,99.27012,33.436,0.7002,0.7083,True
I73_10_05.png,low,7.99916,0.00119,0.00365,0.00143,99.19586,33.38803,0.7451,0.778,True
I74_04_04.png,low,7.99892,-0.00022,0.00094,0.00288,99.24622,33.47153,0.7008,0.7369,True
I75_14_05.png,low,7.99914,6e-05,-0.00049,-0.00275,99.21926,33.49338,0.7604,0.7334,True
I76_24_02.png,low,7.99897,0.00156,0.00192,-0.00021,99.27724,33.559,0.7669,0.753,True
I77_02_03.png,low,7.99907,0.00095,0.00113,0.00603,99.26198,33.3884,0.7767,0.791,True
